epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4081,1.36904,1.30082,1.27325,0.7741,0.73377,0.75107,0.43173,1.32981,0.83362,1.16138,0.0033105,0.0033105,0.0033105
2,101.932,1.37321,0.92091,1.21975,0.77475,0.69765,0.72408,0.39464,1.42004,0.95282,1.27954,0.00662191,0.00662191,0.00662191
3,152.685,1.49655,1.08755,1.30276,0.45451,0.60727,0.50067,0.22515,1.75483,4.28359,1.58258,0.00991132,0.00991132,0.00991132
4,203.374,1.56381,1.19979,1.36766,0.5118,0.62731,0.56063,0.27129,1.68598,2.90112,1.51628,0.009901,0.009901,0.009901
5,254.294,1.50721,1.11517,1.33876,0.73529,0.68842,0.69468,0.35977,1.55325,1.2467,1.37682,0.009868,0.009868,0.009868
6,305.179,1.49622,1.07673,1.32251,0.75886,0.66339,0.6849,0.35601,1.50001,1.25543,1.33444,0.009835,0.009835,0.009835
7,355.779,1.44651,1.03177,1.30824,0.77038,0.70568,0.72026,0.38685,1.46955,1.24228,1.31648,0.009802,0.009802,0.009802
8,406.273,1.42421,0.99845,1.28495,0.7942,0.68567,0.72521,0.40003,1.45509,0.98954,1.30297,0.009769,0.009769,0.009769
9,456.887,1.40913,0.96262,1.27437,0.78196,0.71823,0.74662,0.41777,1.40479,0.92317,1.26216,0.009736,0.009736,0.009736
10,507.571,1.38543,0.93373,1.26922,0.78987,0.7095,0.73415,0.41798,1.38708,0.91062,1.26721,0.009703,0.009703,0.009703
11,558.402,1.37274,0.90654,1.25927,0.82305,0.74246,0.76457,0.43941,1.37103,0.83694,1.2536,0.00967,0.00967,0.00967
12,609.041,1.35145,0.89471,1.23906,0.83064,0.72383,0.77525,0.44659,1.34297,0.85704,1.20971,0.009637,0.009637,0.009637
13,659.613,1.36609,0.89686,1.25403,0.81859,0.75512,0.78487,0.45873,1.34449,0.79763,1.21785,0.009604,0.009604,0.009604
14,710.487,1.33895,0.87165,1.23958,0.81538,0.75375,0.78056,0.44889,1.34111,0.82675,1.23754,0.009571,0.009571,0.009571
15,761.113,1.32473,0.85301,1.24258,0.84321,0.74914,0.8008,0.46786,1.29938,0.78163,1.19747,0.009538,0.009538,0.009538
16,811.949,1.32165,0.8576,1.23263,0.83182,0.74056,0.79204,0.45567,1.35344,0.78418,1.20284,0.009505,0.009505,0.009505
17,862.598,1.33478,0.84364,1.22313,0.84096,0.74126,0.77637,0.45635,1.32299,0.80854,1.1933,0.009472,0.009472,0.009472
18,913.089,1.30062,0.81894,1.22405,0.81887,0.74872,0.78175,0.46054,1.31915,0.78767,1.19917,0.009439,0.009439,0.009439
19,963.724,1.28689,0.81627,1.21615,0.83267,0.76495,0.80243,0.47003,1.30847,0.74591,1.19579,0.009406,0.009406,0.009406
20,1014.22,1.27303,0.79976,1.21032,0.83926,0.76205,0.79236,0.46682,1.29385,0.76983,1.19293,0.009373,0.009373,0.009373
21,1064.98,1.29656,0.80909,1.21038,0.85915,0.75059,0.80337,0.47627,1.29351,0.73966,1.18702,0.00934,0.00934,0.00934
22,1115.89,1.28653,0.79226,1.20379,0.84035,0.7741,0.81818,0.48644,1.29134,0.7148,1.18393,0.009307,0.009307,0.009307
23,1166.61,1.2886,0.79289,1.21217,0.84844,0.76874,0.81256,0.48389,1.2789,0.71911,1.18331,0.009274,0.009274,0.009274
24,1217.08,1.26606,0.78385,1.19636,0.83982,0.77223,0.80864,0.4858,1.26801,0.72582,1.16985,0.009241,0.009241,0.009241
25,1267.9,1.2637,0.77692,1.19733,0.8369,0.77466,0.80781,0.48082,1.28624,0.74815,1.18261,0.009208,0.009208,0.009208
26,1318.72,1.25578,0.765,1.18751,0.85541,0.78391,0.81572,0.48696,1.28818,0.70056,1.16656,0.009175,0.009175,0.009175
27,1369.9,1.25134,0.75597,1.19393,0.85113,0.77558,0.81987,0.49551,1.25407,0.70313,1.15787,0.009142,0.009142,0.009142
28,1420.83,1.25205,0.74518,1.18716,0.82734,0.80471,0.83235,0.50311,1.24712,0.68491,1.16228,0.009109,0.009109,0.009109
29,1471.55,1.24739,0.75163,1.18829,0.84688,0.78351,0.81592,0.49186,1.25722,0.68523,1.16443,0.009076,0.009076,0.009076
30,1522.2,1.25331,0.74835,1.17756,0.84374,0.78505,0.8205,0.49919,1.25977,0.6858,1.16309,0.009043,0.009043,0.009043
31,1572.99,1.24117,0.74566,1.18139,0.83992,0.79766,0.82736,0.50336,1.23473,0.66227,1.14801,0.00901,0.00901,0.00901
32,1624.29,1.24077,0.72753,1.17627,0.84098,0.78786,0.82026,0.49854,1.23572,0.67998,1.1482,0.008977,0.008977,0.008977
33,1674.99,1.19624,0.70598,1.16194,0.85358,0.79761,0.83028,0.49491,1.26421,0.66683,1.16428,0.008944,0.008944,0.008944
34,1725.57,1.22351,0.72857,1.16811,0.83277,0.80295,0.82128,0.50043,1.25079,0.67308,1.14237,0.008911,0.008911,0.008911
35,1776.3,1.22208,0.72064,1.15972,0.83335,0.78916,0.81566,0.49529,1.23938,0.66784,1.14599,0.008878,0.008878,0.008878
36,1827.21,1.22272,0.71712,1.16221,0.84083,0.79809,0.82609,0.50414,1.23865,0.66041,1.13797,0.008845,0.008845,0.008845
37,1877.87,1.20729,0.70732,1.15819,0.8413,0.80279,0.82765,0.50097,1.23286,0.65482,1.1391,0.008812,0.008812,0.008812
38,1928.99,1.20759,0.71274,1.15775,0.85279,0.80436,0.8387,0.50867,1.24083,0.63767,1.14663,0.008779,0.008779,0.008779
39,1979.87,1.21332,0.70758,1.16074,0.84868,0.8139,0.83181,0.50526,1.24338,0.64423,1.16381,0.008746,0.008746,0.008746
40,2032.37,1.22506,0.71156,1.15714,0.8419,0.80669,0.83472,0.51027,1.21676,0.64278,1.14582,0.008713,0.008713,0.008713
41,2083.17,1.19894,0.70087,1.15678,0.84666,0.80521,0.83106,0.50585,1.22938,0.64189,1.15586,0.00868,0.00868,0.00868
42,2134.09,1.20085,0.69374,1.15577,0.85095,0.80458,0.83761,0.50435,1.24581,0.64007,1.15773,0.008647,0.008647,0.008647
